Paper_Number;Paper_ID;Paper_Name;Paper_Link
0;L8T7Jue8J5MJ;Playing atari with deep reinforcement learning;https://arxiv.org/abs/1312.5602
1;T22_I6QZCH4J;Ensemble deep learning: A review ;https://www.sciencedirect.com/science/article/pii/S095219762200269X
2;KT6Ax9PwSEwJ;Offline reinforcement learning: Tutorial, review, and perspectives on open problems ;https://arxiv.org/abs/2005.01643
3;mqzKEAzb62oJ;Decision transformer: Reinforcement learning via sequence modeling ;https://proceedings.neurips.cc/paper_files/paper/2021/hash/7f489f642a0ddb10272b5c31057f0663-Abstract.html
4;pWFqdIkJp7YJ;Card: Classification and regression diffusion models ;https://proceedings.neurips.cc/paper_files/paper/2022/hash/72dad95a24fae750f8ab1cb3dab5e58d-Abstract-Conference.html
5;mjatFWLvYiwJ;Beyond the imitation game: Quantifying and extrapolating the capabilities of language models ;https://arxiv.org/abs/2206.04615
6;x50-BmXs7GEJ;Conservative q-learning for offline reinforcement learning ;https://proceedings.neurips.cc/paper/2020/hash/0d2b2061826a5df3221116a5085a6052-Abstract.html
7;W45MfR2AC3UJ;Federated learning in mobile edge networks: A comprehensive survey ;https://ieeexplore.ieee.org/abstract/document/9060868/
8;cZJ1WAYwKr4J;Dota 2 with large scale deep reinforcement learning ;https://arxiv.org/abs/1912.06680
9;8GxsiI0DibgJ;Interpretable machine learning: Fundamental principles and 10 grand challenges ;https://projecteuclid.org/journals/statistics-surveys/volume-16/issue-none/Interpretable-machine-learning-Fundamental-principles-and-10-grand-challenges/10.1214/21-SS133.short
10;ETPMR67DU7gJ;Soft actor-critic: Off-policy maximum entropy deep reinforcement learning with a stochastic actor ;https://proceedings.mlr.press/v80/haarnoja18b
11;s2cQAMRecF0J;Towards evaluating the robustness of neural networks ;https://ieeexplore.ieee.org/abstract/document/7958570/
12;fjfo6_k5VRYJ;Soft actor-critic algorithms and applications ;https://arxiv.org/abs/1812.05905
13;yZ_b1HimtmUJ;Efficient processing of deep neural networks: A tutorial and survey ;https://ieeexplore.ieee.org/abstract/document/8114708/
14;YW9AmGuXrcgJ;Asynchronous methods for deep reinforcement learning ;https://proceedings.mlr.press/v48/mniha16.html?ref=.
15;xQ5BC7Hj-HkJ;Towards a rigorous science of interpretable machine learning ;https://arxiv.org/abs/1702.08608
16;MHq4MMenr-gJ;Deep learning ;https://books.google.com/books?hl=en&lr=&id=omivDQAAQBAJ&oi=fnd&pg=PR5&ots=MNV5hvtHRR&sig=WObQI8hl1y3CS3FCXvOmH92MBWg
17;rA4Y04TkbQEJ;How to train your robot with deep reinforcement learning: lessons we have learned ;https://journals.sagepub.com/doi/abs/10.1177/0278364920987859
18;nIBHwrpY9e8J;Data-driven science and engineering: Machine learning, dynamical systems, and control ;https://books.google.com/books?hl=en&lr=&id=jkSIDwAAQBAJ&oi=fnd&pg=PR9&ots=VE7agn9WeP&sig=JZbTr4txhV1ebgIZYPJbxXCj3OU
19;lTNo4sNhWzkJ;Continuous control with deep reinforcement learning ;https://arxiv.org/abs/1509.02971
20;kEPrWnkwpqYJ;A state-of-the-art survey on deep learning theory and architectures ;https://www.mdpi.com/2079-9292/8/3/292?ref=https://githubhelp.com
21;xT2HM3SpPT8J;Rainbow: Combining improvements in deep reinforcement learning ;https://ojs.aaai.org/index.php/AAAI/article/view/11796
22;SyDQgF5xNjIJ;Learning robust perceptive locomotion for quadrupedal robots in the wild ;https://www.science.org/doi/abs/10.1126/scirobotics.abk2822
23;QO9y1aucgpYJ;U-net: Convolutional networks for biomedical image segmentation ;https://link.springer.com/chapter/10.1007/978-3-319-24574-4_28
24;cWWmx8639L4J;Dropout as a bayesian approximation: Representing model uncertainty in deep learning ;https://proceedings.mlr.press/v48/gal16.html?trk=public_post_comment-text
25;uiYh7C2joKwJ;Human-level control through deep reinforcement learning ;https://www.nature.com/articles/nature14236/?source=post_page---------------------------
26;q1Ph2DbnqsEJ;Applications of deep reinforcement learning in communications and networking: A survey ;https://ieeexplore.ieee.org/abstract/document/8714026/
27;lsrF0eiGnUEJ;Deep reinforcement learning that matters ;https://ojs.aaai.org/index.php/AAAI/article/view/11694
28;6bhwtG1lktIJ;Enabling massive IoT toward 6G: A comprehensive survey ;https://ieeexplore.ieee.org/abstract/document/9369324/
29;xQqjDYKSnJUJ;Prioritized experience replay ;https://arxiv.org/abs/1511.05952
30;RMVLSFgjBj0J;Threat of adversarial attacks on deep learning in computer vision: A survey ;https://ieeexplore.ieee.org/abstract/document/8294186/
31;JataRPF3gDoJ;Trust region policy optimization ;https://proceedings.mlr.press/v37/schulman15.html
32;gz8vYZVT0REJ;Optimizing federated learning on non-iid data with reinforcement learning ;https://ieeexplore.ieee.org/abstract/document/9155494/
33;KuhEz62P2bIJ;Inverse molecular design using machine learning: Generative models for matter engineering ;https://www.science.org/doi/abs/10.1126/science.aat2663
34;dJEl2TbsHN0J;Deep learning in neural networks: An overview ;https://www.sciencedirect.com/science/article/pii/S0893608014002135
35;I_1Pnwuu6zkJ;Provably efficient reinforcement learning with linear function approximation ;http://proceedings.mlr.press/v125/jin20a.html
36;6_MJGRybhkEJ;End-to-end training of deep visuomotor policies ;https://www.jmlr.org/papers/volume17/15-522/15-522.pdf
37;YfQ9XpC6nEcJ;An end-to-end deep learning architecture for graph classification ;https://ojs.aaai.org/index.php/AAAI/article/view/11782
38;hnioaab9vwEJ;Exploration by random network distillation ;https://arxiv.org/abs/1810.12894
39;bLm5LFqKmqEJ;Unmasking Clever Hans predictors and assessing what machines really learn ;https://www.nature.com/articles/s41467-019-08987-4
40;4_qhnVSvadQJ;Deep learning for IoT big data and streaming analytics: A survey ;https://ieeexplore.ieee.org/abstract/document/8373692/
41;YIPAMJB6sMwJ;Multi-game decision transformers ;https://proceedings.neurips.cc/paper_files/paper/2022/hash/b2cac94f82928a85055987d9fd44753f-Abstract-Conference.html
42;PfaOE8GmGbwJ;Adversarial attacks and defenses in images, graphs and text: A review ;https://link.springer.com/article/10.1007/s11633-019-1211-x
43;cgdmX8MMfRgJ;BoTorch: A framework for efficient Monte-Carlo Bayesian optimization ;https://proceedings.neurips.cc/paper/2020/hash/f5b1b89d98b7286673128a5fb112cb9a-Abstract.html
44;qS7UVldJKZwJ;Outracing champion Gran Turismo drivers with deep reinforcement learning ;https://www.nature.com/articles/s41586-021-04357-7
45;UVUMFZ6rUj0J;The history began from alexnet: A comprehensive survey on deep learning approaches ;https://arxiv.org/abs/1803.01164
